Date,Content,Source
2024-07-25 16:03:00,"Chiều ngày 25/7, đoàn đại biểu Đảng đoàn, Ban Thường vụ, Ban Chấp hành Hội Luật gia Việt Nam đại diện cho giới Luật gia cả nước, đã đến viếng đồng chí Tổng Bí thư Nguyễn Phú Trọng tại Nhà tang lễ Quốc gia số 5 Trần Thánh Tông, thành phố Hà Nội.",https://www.nguoiduatin.vn/hoi-luat-gia-viet-nam-vieng-tong-bi-thu-nguyen-phu-trong-204240725160054525.htm
2024-07-25 08:16:00,"Bắt đầu từ 7h ngày 25/7, Lễ tang Tổng Bí thư Nguyễn Phú Trọng được tổ chức theo nghi thức Quốc tang",https://www.nguoiduatin.vn/lanh-dao-dang-nha-nuoc-vieng-tong-bi-thu-nguyen-phu-trong-204240725081322766.htm
2024-07-25 18:04:00,"Các tuyến đường hướng về nhà tang lễ Quốc gia số 5 Trần Thánh Tông (quận Hai Ba Trưng, Tp.Hà Nội) đều chật cứng người dân xếp hàng chờ vào viếng Tổng Bí thư Nguyễn Phú Trọng.",https://www.nguoiduatin.vn/dong-nguoi-noi-dai-cho-vieng-tong-bi-thu-nguyen-phu-trong-204240725180215317.htm
2024-07-25 08:40:00,"Trong không khí trang nghiêm, đồng bào miền Nam xúc động đến Hội trường Thống Nhất (Tp.HCM) viếng Tổng Bí thư Nguyễn Phú Trọng.",https://www.nguoiduatin.vn/dong-bao-mien-nam-vieng-tong-bi-thu-nguyen-phu-trong-204240725080649204.htm
2024-07-25 14:38:00,"Tổng Bí thư Nguyễn Phú Trọng là một nhà lãnh đạo, một chính khách nổi tiếng, là nhà lãnh đạo của Đảng, của nhân dân không những ở trong nước mà đồng chí luôn được bạn bè quốc tế dành một tình cảm rất đặc biệt.",https://www.nguoiduatin.vn/dau-an-cua-tong-bi-thu-nguyen-phu-trong-trong-dau-tranh-phong-chong-tham-nhung-204240720085735544.htm
2024-07-25 18:00:00,Bộ trưởng Bộ Y tế Đào Hồng Lan đã có thư khen ngợi bác sĩ Phan Nhân Hậu cấp cứu cho bé trai 2 tuổi bị ngừng tuần hoàn sau khi bị đuối nước.,https://www.nguoiduatin.vn/bo-truong-bo-y-te-gui-thu-khen-bac-si-duoi-theo-xe-cuu-tre-duoi-nuoc-20424072517450889.htm
2024-07-25 17:54:00,Mới đây 6 lô trái phiếu được Novaland phát hành trong năm 2020 đều được doanh nghiệp xin gia hạn thêm 1 năm.,https://www.nguoiduatin.vn/novaland-lai-tre-hen-tra-lai-trai-phieu-xin-gia-han-cho-6-lo-khac-204240725172544451.htm
2024-07-25 09:16:00,"Tại toà, ông Trịnh Văn Quyết tiếp tục mong HĐXX ""tạo điều kiện"" gỡ phong toả để ông bán toàn bộ tài sản khắc phục hậu quả, giá trị nhất trong đó là 30% cổ phần tại FLC.",https://www.nguoiduatin.vn/ong-trinh-van-quyet-mong-som-duoc-ban-tai-san-gia-tri-nhat-khac-phuc-hau-qua-204240725085655456.htm
2024-07-25 14:22:00,"Người cựu binh Cáp Kim Xinh ở huyện Cam Lộ, Quảng Trị vẫn tận tụy với công việc làm sạch đẹp, bảo vệ từng ngôi mộ, hương khói chu đáo cho đồng đội.",https://www.nguoiduatin.vn/nguoi-cuu-binh-quang-tri-suot-35-nam-tham-lang-canh-giac-ngu-cho-dong-doi-204240725055640232.htm
2024-07-25 17:36:00,"Từng là doanh nghiệp dành nhiều tiền cho quảng cáo và khuyến mại, song trong bối cảnh doanh thu đi lùi, Sabeco đã tiết giảm dần tất cả các khoản chi phí.",https://www.nguoiduatin.vn/doanh-thu-giam-sabeco-manh-tay-cat-giam-cac-khoan-chi-204240725170029347.htm
